id,result
0,negative
1,negative
2,negative
3,negative
4,positive
5,neutral
6,negative
7,negative
8,negative
9,negative
10,negative
11,neutral
12,positive
13,negative
14,negative
15,positive
16,neutral
17,negative
18,neutral
19,negative
20,negative
21,negative
22,negative
23,negative
24,negative
25,negative
26,negative
27,negative
28,negative
29,negative
30,neutral
31,positive
32,negative
33,negative
34,negative
35,negative
36,negative
37,negative
38,negative
39,negative
40,negative
41,negative
42,negative
43,negative
44,negative
45,neutral
46,negative
47,negative
48,negative
49,negative
50,negative
51,negative
52,negative
53,negative
54,negative
55,negative
56,negative
57,positive
58,negative
59,negative
60,negative
61,positive
62,negative
63,negative
64,neutral
65,negative
66,neutral
67,negative
68,negative
69,negative
70,negative
71,negative
72,negative
73,negative
74,negative
75,negative
76,negative
77,negative
78,negative
79,negative
80,negative
81,negative
82,negative
83,negative
84,negative
85,negative
86,negative
87,neutral
88,negative
89,negative
90,negative
91,negative
92,neutral
93,negative
94,positive
95,negative
96,negative
97,negative
98,negative
99,negative
100,negative
101,negative
102,negative
103,negative
104,negative
105,neutral
106,neutral
107,negative
108,negative
109,negative
110,negative
111,negative
112,negative
113,negative
114,negative
115,negative
116,negative
117,negative
118,positive
119,negative
120,negative
121,positive
122,negative
123,negative
124,negative
125,positive
126,negative
127,positive
128,negative
129,negative
130,neutral
131,neutral
132,negative
133,negative
134,neutral
135,negative
136,neutral
137,negative
138,neutral
139,negative
140,positive
141,negative
142,negative
143,neutral
144,negative
145,negative
146,negative
147,negative
148,negative
149,negative
150,positive
151,negative
152,negative
153,positive
154,negative
155,negative
156,negative
157,negative
158,negative
159,positive
160,negative
161,negative
162,negative
163,negative
164,negative
165,positive
166,negative
167,negative
168,negative
169,neutral
170,negative
171,negative
172,negative
173,positive
174,negative
175,negative
176,neutral
177,negative
178,negative
179,negative
180,positive
181,positive
182,negative
183,negative
184,negative
185,neutral
186,negative
187,negative
188,negative
189,negative
190,negative
191,negative
192,negative
193,negative
194,negative
195,negative
196,negative
197,negative
198,negative
199,negative
200,neutral
201,negative
202,negative
